Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,Jeannette,17,14,3,,
,Jefferson Hills Borough,15,14,1,,
,Jenkins Township,2,2,0,,
,Jenkintown,11,10,1,,
,Jermyn,1,1,0,,
,Jersey Shore,8,7,1,,
,Johnstown,56,49,7,,
,Kane,5,5,0,,
,Kennedy Township,15,11,4,,
,Kidder Township,8,8,0,,
,Kingston,25,20,5,,
,Kingston Township,12,11,1,,
,Kiskiminetas Township,1,1,0,,
,Kline Township,1,1,0,,
,Knox,3,3,0,,
,Koppel,1,1,0,,
,Kutztown,11,10,1,,
,Laflin Borough,3,3,0,,
,Lake City,3,3,0,,
,Lancaster,197,175,22,,
,"Lancaster Township, Butler County",2,2,0,,
,Lansdale,26,20,6,,
,Larksville,4,4,0,,
,Latimore-York Springs Regional,1,1,0,,
,Laureldale,5,5,0,,
,Lawrence Township,10,9,1,,
,Lebanon,54,47,7,,
,Leechburg,2,2,0,,
,Leetsdale,3,3,0,,
,Leet Township,10,5,5,,
,Lehighton,8,7,1,,
,"Lehigh Township, Northampton County",12,11,1,,
,Lehman Township,2,2,0,,
,Lewisburg,8,8,0,,
,Limerick Township,17,16,1,,
,Lincoln,1,1,0,,
,Lititz,16,13,3,,
,Littlestown,8,7,1,,
,Locust Township,5,5,0,,
,Logan Township,18,16,2,,
,Lower Burrell,16,16,0,,
,Lower Gwynedd Township,19,18,1,,
,Lower Heidelberg Township,8,7,1,,
,Lower Makefield Township,35,31,4,,
,Lower Merion Township,157,139,18,,
,Lower Moreland Township,27,22,5,,
,Lower Paxton Township,60,54,6,,
,Lower Pottsgrove Township,16,14,2,,
,Lower Providence Township,32,28,4,,
,Lower Salford Township,21,19,2,,
,Lower Saucon Township,16,14,2,,
,Lower Southampton Township,33,30,3,,
,Lower Swatara Township,11,10,1,,
,Lower Windsor Township,11,10,1,,
,Luzerne Township,1,1,0,,
,Madison Township,1,1,0,,
,"Mahoning Township, Carbon County",5,5,0,,
,"Mahoning Township, Montour County",7,6,1,,
,Malvern,5,4,1,,
,Manheim,8,7,1,,
,Manheim Township,69,51,18,,
,Mansfield,5,5,0,,
,Marion Township,1,1,0,,
,Marlborough Township,4,4,0,,
,Marple Township,38,33,5,,
,Martinsburg,2,2,0,,
,Masontown,5,5,0,,
,Mayfield,1,1,0,,
,McAdoo,1,1,0,,
,McCandless,29,27,2,,
,McDonald Borough,2,2,0,,
,McKeesport,53,50,3,,
,McKees Rocks,10,9,1,,
,McSherrystown,5,5,0,,
,Meadville,26,22,4,,
,Mechanicsburg,16,15,1,,
,Media,24,16,8,,
,Mercer,4,4,0,,
,Mercersburg,2,2,0,,
,Meyersdale,1,1,0,,
,Middletown,16,15,1,,
,Middletown Township,60,53,7,,
,Midland,5,5,0,,
,Mifflinburg,8,7,1,,
,Mifflin County Regional,27,25,2,,
,Mifflin Township,4,4,0,,
,Milford,2,2,0,,
,Millcreek Township,77,58,19,,
,Millersburg,4,4,0,,
,Millersville,14,12,2,,
,Millvale,4,4,0,,
,Millville,1,1,0,,
,Milton,10,9,1,,
,Minersville,5,5,0,,
,Mohnton,3,3,0,,
,Monaca,7,7,0,,
,Monessen,12,12,0,,
,Monroeville,54,50,4,,
,Montgomery Township,42,33,9,,
,Montrose,1,1,0,,
,Moon Township,36,30,6,,
,Moore Township,9,8,1,,
,Moosic,9,9,0,,
,Morris-Cooper Regional,1,1,0,,
,Morrisville,12,11,1,,
,Morton,5,4,1,,
,Moscow,3,3,0,,
,Mount Carmel,10,9,1,,
,Mount Gretna Borough,9,8,1,,
,Mount Joy,13,12,1,,
,Mount Oliver,6,6,0,,
,Mount Union,4,4,0,,
,Muhlenberg Township,33,30,3,,
,Munhall,25,21,4,,
,Murrysville,26,21,5,,
,Nanticoke,13,12,1,,
,Narberth,7,7,0,,
,Neshannock Township,7,7,0,,
,Nether Providence Township,18,16,2,,
,Neville Township,11,10,1,,
,Newberry Township,18,16,2,,
,New Bethlehem,1,1,0,,
,New Britain,5,4,1,,
,New Britain Township,13,11,2,,
,New Cumberland,9,8,1,,
,New Gardern Township,12,11,1,,
,New Hanover Township,11,10,1,,
,New Holland,14,13,1,,
,New Hope,11,9,2,,
,Newport,2,2,0,,
,Newport Township,1,1,0,,
,New Sewickley Township,11,10,1,,
,Newtown,4,4,0,,
,"Newtown Township, Bucks County",32,28,4,,
,"Newtown Township, Delaware County",18,16,2,,
,Newville,2,2,0,,
,New Wilmington,4,4,0,,
,Norristown,79,66,13,,
,Northampton,14,12,2,,
,Northampton Township,47,41,6,,
,North Apollo,1,1,0,,
,North Catasauqua,5,5,0,,
,North Cornwall Township,10,9,1,,
,North Coventry Township,13,12,1,,
,North East,8,7,1,,
,Northeastern Regional,11,10,1,,
,Northern Berks Regional,15,14,1,,
,Northern Cambria Borough,5,5,0,,
,Northern Regional,30,28,2,,
,Northern York Regional,50,46,4,,
,North Fayette Township,24,19,5,,
,North Franklin Township,8,8,0,,
,North Huntingdon Township,34,28,6,,
,North Lebanon Township,10,9,1,,
,North Londonderry Township,9,8,1,,
,North Middleton Township,9,8,1,,
,North Strabane Township,20,19,1,,
,Northumberland,5,5,0,,
,North Versailles Township,22,19,3,,
,North Wales,5,4,1,,
,Northwest Lancaster County Regional,16,15,1,,
,Northwest Lawrence County Regional,2,2,0,,
,Norwood,7,7,0,,
,Oakmont,7,7,0,,
,O'Hara Township,14,13,1,,
,Ohio Township,11,10,1,,
,Ohioville,2,2,0,,
,Oil City,23,18,5,,
,Old Forge,2,2,0,,
,Old Lycoming Township,11,10,1,,
,Olyphant,5,5,0,,
,Orwigsburg,4,4,0,,
,Oxford,12,11,1,,
,Paint Township,5,4,1,,
,Palmerton,9,8,1,,
,Palmyra,10,9,1,,
,Parkesburg,10,9,1,,
,Patterson Area,4,4,0,,
,Patton,2,2,0,,
,Patton Township,19,17,2,,
,Paxtang,3,3,0,,
,Pen Argyl,5,5,0,,
,Penn Hills,58,53,5,,
,Pennridge Regional,23,15,8,,
,"Penn Township, Butler County",4,3,1,,
,"Penn Township, Lancaster County",8,8,0,,
,"Penn Township, Westmoreland County",22,20,2,,
,"Penn Township, York County",24,22,2,,
,Perkasie,19,17,2,,
,Peters Township,23,21,2,,
,Philadelphia,"7,510","6,665",845,,
,Phoenixville,26,24,2,,
,Pittsburgh,910,848,62,,
,Pittston,10,10,0,,
,Plainfield Township,13,12,1,,
,Plains Township,16,15,1,,
,Pleasant Hills,19,17,2,,
,Plum,37,30,7,,
,Plumstead Township,17,15,2,,
,"Plymouth Township, Montgomery County",55,46,9,,
,Pocono Mountain Regional,34,29,5,,
,Pocono Township,16,16,0,,
,Point Township,5,5,0,,
,Portage,2,2,0,,
,Port Allegany,3,3,0,,
,Pottstown,57,43,14,,
,Pottsville,28,27,1,,
,Prospect Park,9,9,0,,
,Punxsutawney,11,8,3,,
,Pymatuning Township,4,4,0,,
,Quakertown,23,15,8,,
,Radnor Township,57,47,10,,
,Rankin,1,1,0,,
,Reading,233,206,27,,
,Reynoldsville,2,2,0,,
,Rice Township,4,4,0,,
,"Richland Township, Bucks County",11,10,1,,
,"Richland Township, Cambria County",20,19,1,,
,Ridgway,5,4,1,,
,Ridley Park,14,10,4,,
,Ridley Township,37,32,5,,
,Riverside,3,3,0,,
,Roaring Brook Township,2,2,0,,
,Roaring Spring,2,2,0,,
,Robesonia,2,2,0,,
,Robeson Township,6,5,1,,
,"Robinson Township, Allegheny County",26,21,5,,
,"Robinson Township, Washington County",2,2,0,,
,Rochester,11,9,2,,
,Rochester Township,4,4,0,,
,Rockledge,5,5,0,,
,Roseto,2,1,1,,
,Rosslyn Farms,2,2,0,,
,Ross Township,43,43,0,,
,Rostraver Township,15,14,1,,
,Rush Township,3,3,0,,
,Sadsbury Township,2,2,0,,
,Salisbury Township,14,12,2,,
,Sandy Township,9,8,1,,
,Saxton,1,1,0,,
,Sayre,14,14,0,,
,Schuylkill Haven,7,7,0,,
,"Schuylkill Township, Chester County",11,10,1,,
,Scottdale,7,7,0,,
,"Scott Township, Columbia County",6,6,0,,
,"Scott Township, Lackawanna County",5,5,0,,
,Scranton,170,150,20,,
,Selinsgrove,6,5,1,,
,Seven Springs,7,6,1,,
,Seward,1,1,0,,
,Sewickley,13,12,1,,
,Sewickley Heights,6,2,4,,
,Shaler Township,27,26,1,,
,Shamokin,13,13,0,,
,Shamokin Dam,3,3,0,,
,Sharon Hill,8,7,1,,
,Sharpsburg,5,5,0,,
,Sharpsville,6,5,1,,
,Shenandoah,8,7,1,,
,"Shenango Township, Lawrence County",6,6,0,,
,Shillington,8,8,0,,
,Shippensburg,11,10,1,,
,Shippingport,2,2,0,,
,Shiremanstown,2,2,0,,
,Shohola Township,1,1,0,,
,Silver Lake Township,2,2,0,,
,Silver Spring Township,13,12,1,,
,Sinking Spring,5,5,0,,
,Slatington,6,6,0,,
,Slippery Rock,3,3,0,,
,Smethport,2,2,0,,
,Solebury Township,15,13,2,,
,South Abington Township,12,10,2,,
,South Beaver Township,4,4,0,,
,South Buffalo Township,2,2,0,,
,South Centre Township,4,4,0,,
,"Southern Regional, Lancaster County",9,9,0,,
,"Southern Regional, York County",12,11,1,,
,South Fayette Township,18,17,1,,
,South Fork,1,1,0,,
,South Greensburg,2,2,0,,
,South Heidelberg Township,6,6,0,,
,South Lebanon Township,8,7,1,,
,South Londonderry Township,6,6,0,,
,South Park Township,17,16,1,,
,South Pymatuning Township,2,2,0,,
,South Waverly,3,3,0,,
,Southwestern Regional,15,14,1,,
,Southwest Greensburg,2,2,0,,
,Southwest Regional,3,2,1,,
,South Whitehall Township,38,35,3,,
,South Williamsport,8,7,1,,
,Spring City,4,3,1,,
,Springdale,2,2,0,,
,Springettsbury Township,33,30,3,,
,"Springfield Township, Bucks County",4,4,0,,
,"Springfield Township, Delaware County",41,35,6,,
,"Springfield Township, Montgomery County",31,30,1,,
,Spring Garden Township,19,17,2,,
,"Spring Township, Berks County",27,26,1,,
,"Spring Township, Centre County",7,6,1,,
,State College,77,65,12,,
,St. Clair Boro,7,7,0,,
,St. Marys City,13,12,1,,
,Steelton,9,8,1,,
,Stewartstown,6,5,1,,
,Stonycreek Township,2,2,0,,
,Stowe Township,5,4,1,,
,Strasburg,4,4,0,,
,Stroud Area Regional,58,53,5,,
,Sugarcreek,6,6,0,,
,"Sugarloaf Township, Luzerne County",4,4,0,,
,Summerhill Township,2,2,0,,
,Summit Hill,3,3,0,,
,Sunbury,15,12,3,,
,"Susquehanna Township, Cambria County",1,1,0,,
,"Susquehanna Township, Dauphin County",42,40,2,,
,Swarthmore,9,9,0,,
,Swatara Township,42,40,2,,
,Swissvale,14,14,0,,
,Swoyersville,7,7,0,,
,Tamaqua,10,8,2,,
,Tarentum,10,7,3,,
,Telford,8,7,1,,
,Tidioute,1,1,0,,
,"Tinicum Township, Bucks County",5,5,0,,
,"Tinicum Township, Delaware County",16,15,1,,
,Titusville,16,16,0,,
,Towamencin Township,34,22,12,,
,Towanda,8,7,1,,
,Trafford,2,2,0,,
,Trainer,6,6,0,,
,Tredyffrin Township,60,51,9,,
,Troy,3,3,0,,
,Tullytown,6,4,2,,
,"Tunkhannock Township, Wyoming County",4,4,0,,
,Union City,2,2,0,,
,Uniontown,18,18,0,,
,"Union Township, Lawrence County",2,2,0,,
,Upland,1,1,0,,
,Upper Chichester Township,24,22,2,,
,Upper Darby Township,134,124,10,,
,Upper Dublin Township,45,40,5,,
,Upper Makefield Township,17,15,2,,
,Upper Merion Township,83,62,21,,
,Upper Moreland Township,50,40,10,,
,Upper Nazareth Township,4,3,1,,
,Upper Perkiomen,9,8,1,,
,Upper Pottsgrove Township,12,11,1,,
,"Upper Providence Township, Delaware County",13,12,1,,
,"Upper Providence Township, Montgomery County",23,21,2,,
,Upper Saucon Township,19,18,1,,
,Upper Southampton Township,24,21,3,,
,Upper St. Clair Township,33,28,5,,
,Upper Uwchlan Township,10,10,0,,
,Uwchlan Township,25,23,2,,
,Vandergrift,8,8,0,,
,Vernon Township,3,3,0,,
,Verona,3,3,0,,
,Walnutport,4,4,0,,
,Warminster Township,52,46,6,,
,Warren,20,15,5,,
,Warrington Township,31,28,3,,
,"Warwick Township, Bucks County",21,19,2,,
,"Warwick Township, Lancaster County",18,16,2,,
,"Washington, Washington County",31,29,2,,
,"Washington Township, Fayette County",3,3,0,,
,"Washington Township, Franklin County",15,14,1,,
,"Washington Township, Northampton County",3,3,0,,
,"Washington Township, Westmoreland County",7,7,0,,
,Watsontown,5,5,0,,
,Waynesboro,21,19,2,,
,Waynesburg,9,8,1,,
,Weatherly,4,4,0,,
,Wellsboro,7,7,0,,
,Wernersville,2,2,0,,
,Wesleyville,11,10,1,,
,West Brandywine Township,8,7,1,,
,West Conshohocken,9,8,1,,
,West Cornwall Township,9,8,1,,
,West Earl Township,6,6,0,,
,West Fallowfield Township,1,1,0,,
,Westfall Township,6,6,0,,
,Westfield,2,2,0,,
,West Goshen Township,30,25,5,,
,West Hempfield Township,21,19,2,,
,West Hills Regional,12,11,1,,
,West Kittanning,1,1,0,,
,West Lampeter Township,15,14,1,,
,West Lebanon Township,10,9,1,,
,West Manchester Township,29,26,3,,
,West Manheim Township,7,7,0,,
,West Mifflin,38,33,5,,
,West Norriton Township,32,27,5,,
,West Pikeland Township,4,4,0,,
,West Pike Run,1,1,0,,
,West Pittston,3,3,0,,
,West Pottsgrove Township,9,8,1,,
,West Reading,14,12,2,,
,West Sadsbury Township,4,3,1,,
,West Shore Regional,11,9,2,,
,Westtown-East Goshen Regional,34,32,2,,
,West View,12,8,4,,
,West Whiteland Township,30,28,2,,
,West Wyoming,2,2,0,,
,West York,7,7,0,,
,Whitehall,25,20,5,,
,Whitehall Township,58,49,9,,
,White Haven Borough,2,2,0,,
,White Township,2,2,0,,
,Whitpain Township,36,29,7,,
,Wilkes-Barre,86,80,6,,
,Wilkes-Barre Township,18,16,2,,
,Wilkinsburg,27,24,3,,
,Wilkins Township,12,12,0,,
,Williamsport,55,51,4,,
,Willistown Township,18,16,2,,
,Windber,3,2,1,,
,Wyoming,5,5,0,,
,Wyomissing,27,22,5,,
,Yardley,3,3,0,,
,Yeadon,16,14,2,,
,York Area Regional,52,47,5,,
,Youngsville,2,2,0,,
,Zelienople,10,9,1,,
RHODE ISLAND,Barrington,31,24,7,,
,Bristol,52,41,11,,
,Burrillville,35,25,10,,
,Central Falls,52,42,10,,
,Charlestown,26,21,5,,
,Coventry,71,59,12,,
,Cranston,187,152,35,,
,Cumberland,61,49,12,,
,East Greenwich,42,33,9,,
,East Providence,123,103,20,,
,Foster,11,7,4,,
,Glocester,23,16,7,,
,Hopkinton,21,16,5,,
,Jamestown,19,14,5,,
,Johnston,95,77,18,,
,Lincoln,42,34,8,,
,Little Compton,14,10,4,,
,Middletown,38,34,4,,
,Narragansett,53,41,12,,
,Newport,101,79,22,,
,New Shoreham,9,4,5,,
,North Kingstown,51,44,7,,
,North Providence,92,71,21,,
,North Smithfield,28,22,6,,
,Pawtucket,185,153,32,,
,Portsmouth,33,32,1,,
,Providence,579,480,99,,
,Richmond,17,12,5,,
,Scituate,24,17,7,,
,Smithfield,54,41,13,,
,South Kingstown,73,55,18,,
,Tiverton,40,28,12,,
,Warren,27,22,5,,
,Warwick,225,177,48,,
,Westerly,62,50,12,,
,West Greenwich,17,11,6,,
,West Warwick,73,60,13,,
,Woonsocket,115,100,15,,
SOUTH CAROLINA,Abbeville,23,21,2,,
,Aiken,119,81,38,,
,Allendale,8,7,1,,
,Anderson,122,87,35,,
,Atlantic Beach,4,4,0,,
,Aynor,6,5,1,,
,Bamberg,12,10,2,,
,Barnwell,18,16,2,,
,Batesburg-Leesville,25,20,5,,
,Beaufort,52,47,5,,
,Belton,14,13,1,,
,Bennettsville,36,33,3,,
,Bethune,1,1,0,,
,Bishopville,12,11,1,,
,Blacksburg,15,14,1,,
,Blackville,8,6,2,,
,Bluffton,32,30,2,,
,Bowman,2,2,0,,
,Branchville,5,4,1,,
,Brunson,4,3,1,,
,Burnettown,2,2,0,,
,Calhoun Falls,9,8,1,,
,Camden,30,26,4,,
,Campobello,7,7,0,,
,Cayce,74,61,13,,
,Central,10,10,0,,
,Chapin,5,5,0,,
,Charleston,503,367,136,,
,Cheraw,30,24,6,,
,Chesnee,5,5,0,,
,Chester,33,27,6,,
,Chesterfield,6,4,2,,
,Clemson,35,26,9,,
,Clinton,32,26,6,,
,Clio,5,4,1,,
,Clover,17,13,4,,
,Columbia,368,328,40,,
,Conway,60,45,15,,
,Cottageville,4,4,0,,
,Coward,1,1,0,,
,Cowpens,6,6,0,,
,Darlington,29,26,3,,
,Denmark,9,7,2,,
,Dillon,29,24,5,,
,Due West,5,5,0,,
,Duncan,13,13,0,,
,Easley,49,38,11,,
,Edgefield,9,9,0,,
,Edisto Beach,7,6,1,,
,Ehrhardt,4,4,0,,
,Elgin,4,4,0,,
,Elloree,4,3,1,,
,Estill,8,6,2,,
,Eutawville,4,3,1,,
,Fairfax,8,7,1,,
,Florence,121,100,21,,
,Folly Beach,19,13,6,,
,Forest Acres,32,26,6,,
,Fort Lawn,5,4,1,,
,Fort Mill,30,24,6,,
,Fountain Inn,28,21,7,,
,Gaffney,42,38,4,,
,Georgetown,44,35,9,,
,Goose Creek,75,57,18,,
,Great Falls,5,4,1,,
,Greeleyville,2,2,0,,
,Greenville,228,185,43,,
,Greenwood,53,45,8,,
,Greer,67,54,13,,
,Hanahan,36,29,7,,
,Hardeeville,15,13,2,,
,Harleyville,3,3,0,,
,Hartsville,32,29,3,,
,Hemingway,4,3,1,,
,Holly Hill,8,8,0,,
,Honea Path,14,14,0,,
,Inman,7,7,0,,
,Irmo,24,22,2,,
,Isle of Palms,29,19,10,,
,Iva,6,5,1,,
,Jackson,4,4,0,,
,Jamestown,2,1,1,,
,Johnsonville,5,4,1,,
,Johnston,8,8,0,,
,Jonesville,6,6,0,,
,Kingstree,20,18,2,,
,Lake City,29,21,8,,
,Lake View,4,4,0,,
,Lamar,3,3,0,,
,Lancaster,44,33,11,,
,Landrum,17,16,1,,
,Latta,8,8,0,,
,Laurens,34,27,7,,
,Lexington,39,34,5,,
,Liberty,15,10,5,,
,Lynchburg,4,4,0,,
,Marion,25,21,4,,
,Mauldin,48,37,11,,
,McBee,3,2,1,,
,McColl,7,7,0,,
,Moncks Corner,26,23,3,,
,Mount Pleasant,171,130,41,,
,Mullins,17,15,2,,
,Myrtle Beach,242,184,58,,
,Newberry,32,28,4,,
,New Ellenton,6,6,0,,
,Ninety Six,4,4,0,,
,North,3,3,0,,
,North Augusta,66,49,17,,
,North Charleston,366,285,81,,
,North Myrtle Beach,107,101,6,,
,Norway,14,2,12,,
,Orangeburg,92,70,22,,
,Pacolet,5,5,0,,
,Pageland,15,10,5,,
,Pamplico,5,5,0,,
,Pawleys Island,4,3,1,,
,Pelion,3,3,0,,
,Pickens,15,13,2,,
,Pine Ridge,2,1,1,,
,Prosperity,5,4,1,,
,Ridgeland,14,13,1,,
,Ridgeville,2,1,1,,
,Rock Hill,158,117,41,,
,Salem,1,1,0,,
,Salley,1,1,0,,
,Saluda,11,10,1,,
,Santee,14,9,5,,
,Scranton,2,2,0,,
,Seneca,41,30,11,,
,Simpsonville,48,38,10,,
,Society Hill,5,5,0,,
,South Congaree,7,7,0,,
,Spartanburg,140,120,20,,
,Springdale,9,9,0,,
,Springfield,1,1,0,,
,St. Matthews,8,7,1,,
,Sullivans Island,9,8,1,,
,Summerton,11,10,1,,
,Summerville,91,70,21,,
,Sumter,150,108,42,,
,Surfside Beach,25,17,8,,
,Swansea,7,7,0,,
,Tega Cay,20,15,5,,
,Timmonsville,7,7,0,,
,Travelers Rest,21,15,6,,
,Turbeville,3,3,0,,
,Union,32,29,3,,
,Vance,1,1,0,,
,Wagener,3,3,0,,
,Walhalla,15,14,1,,
,Walterboro,29,20,9,,
,Ware Shoals,8,7,1,,
,Wellford,4,4,0,,
,West Columbia,61,49,12,,
,Westminster,10,10,0,,
,West Pelzer,3,3,0,,
,West Union,1,1,0,,
,Whitmire,4,4,0,,
,Williston,9,8,1,,
,Winnsboro,27,27,0,,
,Woodruff,13,11,2,,
,Yemassee,6,6,0,,
,York,36,30,6,,
SOUTH DAKOTA,Aberdeen,50,42,8,,
,Alcester,2,2,0,,
,Armour,1,1,0,,
,Avon,1,1,0,,
,Belle Fourche,9,8,1,,
,Beresford,8,4,4,,
,Box Elder,9,7,2,,
,Brandon,12,11,1,,
,Brookings,34,26,8,,
,Burke,1,1,0,,
,Canton,5,5,0,,
,Centerville,1,1,0,,
,Chamberlain,5,5,0,,
,Clark,2,2,0,,
,Colman,1,1,0,,
,Corsica,1,1,0,,
,Deadwood,14,11,3,,
,Eagle Butte,2,2,0,,
,Elk Point,4,4,0,,
,Estelline,1,1,0,,
,Eureka,2,2,0,,
,Faith,2,1,1,,
,Flandreau,7,7,0,,
,Freeman,2,2,0,,
,Gettysburg,2,2,0,,
,Gregory,3,3,0,,
,Groton,3,3,0,,
,Highmore,1,1,0,,
,Hot Springs,9,7,2,,
,Huron,28,22,6,,
,Jefferson,2,2,0,,
,Kadoka,1,1,0,,
,Kimball,1,1,0,,
,Lead,6,5,1,,
,Lemmon,4,4,0,,
,Lennox,4,4,0,,
,Leola,2,2,0,,
,Madison,11,10,1,,
,Martin,6,5,1,,
,McIntosh,1,1,0,,
,Menno,1,1,0,,
,Milbank,5,5,0,,
,Miller,4,4,0,,
,Mitchell,30,22,8,,
,Mobridge,13,7,6,,
,Murdo,1,1,0,,
,New Effington,1,1,0,,
,North Sioux City,8,6,2,,
,Parkston,2,2,0,,
,Philip,2,2,0,,
,Pierre,34,23,11,,
,Platte,1,1,0,,
,Rapid City,127,101,26,,
,Rosholt,1,1,0,,
,Scotland,1,1,0,,
,Selby,1,1,0,,
,Sioux Falls,252,216,36,,
,Sisseton,8,8,0,,
,Spearfish,25,18,7,,
,Springfield,2,2,0,,
,Sturgis,18,15,3,,
,Tea,4,4,0,,
,Tripp,1,1,0,,
,Tyndall,2,2,0,,
,Vermillion,16,15,1,,
,Viborg,1,1,0,,
,Wagner,3,3,0,,
,Watertown,46,32,14,,
,Waubay,1,1,0,,
,Webster,5,5,0,,
,Whitewood,2,2,0,,
,Winner,31,6,25,,
,Yankton,46,27,19,,
TENNESSEE,Adamsville,10,6,4,,
,Alamo,3,3,0,,
,Alcoa,44,37,7,,
,Alexandria,2,2,0,,
,Algood,11,11,0,,
,Ardmore,11,7,4,,
,Ashland City,14,13,1,,
,Athens,33,31,2,,
,Atoka,12,11,1,,
,Baileyton,2,2,0,,
,Bartlett,117,90,27,,
,Baxter,4,4,0,,
,Bean Station,7,7,0,,
,Belle Meade,19,16,3,,
,Bells,5,5,0,,
,Benton,8,7,1,,
,Berry Hill,17,13,4,,
,Bethel Springs,3,2,1,,
,Big Sandy,2,2,0,,
,Blaine,4,4,0,,
,Bluff City,10,10,0,,
,Bolivar,25,20,5,,
,Bradford,3,3,0,,
,Brentwood,68,54,14,,
,Brighton,5,4,1,,
,Bristol,93,68,25,,
,Brownsville,38,33,5,,
,Bruceton,4,4,0,,
,Burns,2,2,0,,
,Calhoun,2,2,0,,
,Camden,18,13,5,,
,Carthage,11,7,4,,
,Caryville,6,6,0,,
,Celina,6,4,2,,
,Centerville,19,13,6,,
,Chapel Hill,5,5,0,,
,Charleston,2,2,0,,
,Chattanooga,600,429,171,,
,Church Hill,9,8,1,,
,Clarksville,290,237,53,,
,Cleveland,104,92,12,,
,Clifton,6,6,0,,
,Clinton,30,28,2,,
,Collegedale,23,22,1,,
,Collierville,127,87,40,,
,Collinwood,4,4,0,,
,Columbia,91,82,9,,
,Cookeville,94,72,22,,
,Coopertown,8,8,0,,
,Copperhill,1,1,0,,
,Covington,31,30,1,,
,Cowan,6,6,0,,
,Cross Plains,3,3,0,,
,Crossville,43,39,4,,
,Crump,2,2,0,,
,Cumberland City,3,3,0,,
,Cumberland Gap,1,1,0,,
,Dandridge,11,10,1,,
,Dayton,18,16,2,,
,Decatur,5,5,0,,
,Decaturville,1,1,0,,
,Decherd,11,10,1,,
,Dickson,48,43,5,,
,Dover,5,5,0,,
,Dresden,9,8,1,,
,Dunlap,12,11,1,,
,Dyer,6,6,0,,
,Dyersburg,65,54,11,,
,Eagleville,2,1,1,,
,East Ridge,44,34,10,,
,Elizabethton,42,38,4,,
,Elkton,2,2,0,,
,Englewood,6,6,0,,
,Erin,6,5,1,,
,Erwin,11,11,0,,
,Estill Springs,6,5,1,,
,Ethridge,2,1,1,,
,Etowah,14,10,4,,
,Fairview,17,16,1,,
,Fayetteville,25,23,2,,
,Franklin,143,119,24,,
,Friendship,1,1,0,,
,Gainesboro,4,4,0,,
,Gallatin,74,56,18,,
,Gallaway,7,7,0,,
,Gates,2,2,0,,
,Gatlinburg,50,43,7,,
,Germantown,99,79,20,,
,Gibson,2,2,0,,
,Gleason,6,5,1,,
,Goodlettsville,50,36,14,,
,Gordonsville,5,5,0,,
,Grand Junction,1,1,0,,
,Graysville,5,4,1,,
,Greenbrier,13,12,1,,
,Greeneville,47,45,2,,
,Greenfield,8,7,1,,
,Halls,9,9,0,,
,Harriman,22,20,2,,
,Henderson,15,14,1,,
,Hendersonville,92,71,21,,
,Henning,2,1,1,,
,Henry,1,1,0,,
,Hohenwald,14,13,1,,
,Hollow Rock,2,2,0,,
,Hornbeak,1,1,0,,
,Humboldt,32,26,6,,
,Huntingdon,16,12,4,,
,Huntland,4,4,0,,
,Jacksboro,4,4,0,,
,Jackson,221,179,42,,
,Jamestown,9,9,0,,
,Jasper,8,8,0,,
,Jefferson City,21,19,2,,
,Jellico,11,8,3,,
,Johnson City,171,145,26,,
,Jonesborough,20,15,5,,
,Kenton,5,5,0,,
,Kimball,10,9,1,,
,Kingsport,147,103,44,,
,Kingston,13,12,1,,
,Kingston Springs,6,5,1,,
,Knoxville,476,359,117,,
,Lafayette,21,14,7,,
,La Follette,29,22,7,,
,La Grange,1,1,0,,
,Lake City,10,7,3,,
,Lakewood,4,4,0,,
,La Vergne,60,43,17,,
,Lawrenceburg,40,34,6,,
,Lebanon,85,68,17,,
,Lenoir City,20,19,1,,
,Lewisburg,37,28,9,,
,Lexington,30,25,5,,
,Livingston,22,16,6,,
,Lookout Mountain,21,16,5,,
,Loretto,3,3,0,,
,Loudon,15,14,1,,
,Lynnville,1,1,0,,
,Madisonville,16,14,2,,
,Manchester,35,30,5,,
,Martin,35,27,8,,
,Maryville,57,48,9,,
,Mason,6,5,1,,
,Maynardville,4,4,0,,
,McEwen,4,3,1,,
,McKenzie,21,16,5,,
,McMinnville,40,36,4,,
,Medina,10,10,0,,
,Memphis,"2,440","1,990",450,,
,Middleton,3,3,0,,
,Milan,32,26,6,,
,Millersville,17,12,5,,
,Millington,46,36,10,,
,Minor Hill,2,1,1,,
,Monteagle,11,4,7,,
,Monterey,8,8,0,,
,Morristown,85,79,6,,
,Moscow,4,4,0,,
,Mountain City,9,9,0,,
,Mount Carmel,8,8,0,,
,Mount Juliet,48,37,11,,
,Mount Pleasant,13,12,1,,
,Munford,13,12,1,,
,Murfreesboro,219,174,45,,
,Nashville,"1,526","1,213",313,,
,Newbern,20,13,7,,
,New Hope,1,1,0,,
,New Johnsonville,5,5,0,,
,New Market,3,3,0,,
,Newport,32,29,3,,
,New Tazewell,11,11,0,,
,Niota,3,3,0,,
,Nolensville,6,6,0,,
,Norris,7,7,0,,
,Oakland,15,13,2,,
,Oak Ridge,72,60,12,,
,Obion,4,4,0,,
,Oliver Springs,15,11,4,,
,Oneida,19,14,5,,
,Paris,35,25,10,,
,Parsons,6,6,0,,
,Petersburg,2,2,0,,
,Pigeon Forge,64,52,12,,
